YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI,SEASON
2016,40,3110,4169,2114,828,643,10864,852842,1946,1.27386,1.2019,16/17
2016,41,3207,4078,2155,879,678,10997,850228,1973,1.29342,1.23108,16/17
2016,42,3564,4452,2234,981,695,11926,896035,1983,1.33097,1.26796,16/17
2016,43,3786,4769,2406,987,700,12648,886570,2006,1.42662,1.36298,16/17
2016,44,4314,5287,2444,1030,715,13790,877947,1999,1.57071,1.48535,16/17
2016,45,4703,5193,2549,1055,758,14258,863356,1990,1.65146,1.55954,16/17
2016,46,4979,5610,2659,1083,829,15160,874739,2000,1.73309,1.64783,16/17
2016,47,5032,4567,2634,1108,867,14208,698566,2011,2.03388,1.91275,16/17
2016,48,5209,5655,3326,1359,1056,16605,881694,2001,1.88331,1.81725,16/17
2016,49,5501,5812,3188,1413,1047,16961,846813,2013,2.00292,1.91433,16/17
2016,50,5744,6724,3491,1485,1019,18463,810736,2000,2.27731,2.21003,16/17
2016,51,6653,7469,4099,1923,1421,21565,739882,1977,2.91465,2.73568,16/17
2016,52,7712,7144,5247,2652,2145,24900,701569,1928,3.54919,3.36832,16/17
2017,1,6716,6786,5673,2773,2230,24178,784740,2024,3.08102,3.09689,16/17
2017,2,6020,8843,5313,2639,2082,24897,824746,1997,3.01875,3.07346,16/17
2017,3,6399,12147,5588,2717,1930,28781,845391,2029,3.40446,3.51643,16/17
2017,4,6958,14073,5788,2623,1823,31265,886023,2021,3.52869,3.8027,16/17
2017,5,7452,17482,6522,2968,2093,36517,889216,2024,4.10665,4.50313,16/17
2017,6,8110,20150,8235,3749,2646,42890,901978,2027,4.7551,5.06308,16/17
2017,7,7726,18692,8328,3652,2637,41035,882163,1967,4.65163,4.86009,16/17
2017,8,7649,17300,8560,3807,2808,40124,877892,1987,4.57049,4.57916,16/17
2017,9,6129,12394,6496,2983,2181,30183,873547,1995,3.45522,3.55674,16/17
2017,10,5854,11552,5970,2766,1918,28060,851580,1971,3.29505,3.50417,16/17
2017,11,5503,10084,5535,2582,1780,25484,805370,1958,3.16426,3.21511,16/17
2017,12,5514,11503,5858,2641,1838,27354,869946,1940,3.14433,3.10088,16/17
2017,13,5145,10149,5070,2354,1624,24342,845397,1899,2.87936,2.79056,16/17
2017,14,4488,8178,3918,1760,1333,19677,830332,1906,2.36977,2.38547,16/17
2017,15,3909,5847,3151,1470,1171,15548,802052,1861,1.93853,1.9703,16/17
2017,16,3306,4683,2766,1258,993,13006,792740,1845,1.64064,1.73442,16/17
2017,17,2997,4497,2391,1111,928,11924,808298,1846,1.4752,1.56303,16/17
2017,18,2890,4105,2039,1011,717,10762,781240,1795,1.37755,1.4128,16/17
2017,19,2751,3831,2037,862,721,10202,762648,1767,1.33771,1.27492,16/17
2017,20,2685,3518,2011,886,709,9809,728288,1746,1.34686,1.2834,16/17
2017,21,2341,3060,1745,771,647,8564,676574,1614,1.26579,1.16663,16/17
2017,22,2311,2575,1577,710,583,7756,617021,1569,1.25701,1.10977,16/17
2017,23,2412,2377,1459,671,591,7510,647145,1493,1.16048,1.04333,16/17
2017,24,2049,2099,1346,595,547,6636,633003,1470,1.04834,0.905151,16/17
2017,25,1930,1971,1282,559,498,6240,628582,1469,0.992711,0.902718,16/17
2017,26,1771,1748,1121,489,467,5596,581945,1422,0.961603,0.859531,16/17
2017,27,1728,1564,1111,505,418,5326,557219,1456,0.955818,0.818998,16/17
2017,28,1545,1578,1004,462,372,4961,599446,1405,0.827597,0.752505,16/17
2017,29,1549,1421,908,450,419,4747,584688,1384,0.811886,0.731146,16/17
2017,30,1576,1515,953,459,376,4879,596071,1377,0.818527,0.733295,16/17
2017,31,1529,1485,1037,415,433,4899,590413,1390,0.829758,0.73102,16/17
2017,32,1559,1481,1044,441,390,4915,593239,1386,0.828503,0.68834,16/17
2017,33,1603,1691,1097,427,412,5230,590363,1350,0.885896,0.732049,16/17
2017,34,1964,2549,1256,473,411,6653,631507,1379,1.05351,0.911188,16/17
2017,35,2076,2726,1302,526,503,7133,638196,1370,1.11768,1.02105,16/17
2017,36,2073,2488,1369,587,555,7072,620201,1384,1.14028,1.09495,16/17
2017,37,2372,2942,1656,706,628,8304,732755,1485,1.13326,1.09475,16/17
2017,38,2544,3075,1625,664,655,8563,728214,1484,1.17589,1.09775,16/17
2017,39,2840,3201,1652,746,640,9079,733077,1468,1.23848,1.18882,16/17
2017,40,3844,4553,2486,1072,875,12830,1000168,2205,1.28278,1.26682,17/18
2017,41,4120,4453,2676,1073,947,13269,994535,2233,1.33419,1.30662,17/18
2017,42,4409,4993,2804,1139,974,14319,1013427,2254,1.41293,1.34866,17/18
2017,43,5003,5529,2921,1324,1049,15826,1002381,2251,1.57884,1.51871,17/18
2017,44,5219,6133,3289,1365,1062,17068,999750,2213,1.70723,1.74793,17/18
2017,45,6108,6625,3609,1523,1129,18994,1019146,2278,1.86372,1.87047,17/18
2017,46,6805,7478,4200,1778,1354,21615,1030631,2281,2.09726,2.06674,17/18
2017,47,6945,5876,3844,1707,1445,19817,845535,2264,2.34372,2.28188,17/18
2017,48,7008,7476,5235,2206,1830,23755,1056270,2274,2.24895,2.28528,17/18
2017,49,7230,8491,5050,2338,1870,24979,999753,2263,2.49852,2.5848,17/18
2017,50,8297,11277,6671,2955,2333,31533,984043,2255,3.20443,3.36711,17/18
2017,51,10464,14164,9836,4578,3622,42664,962961,2204,4.4305,4.71836,17/18
2017,52,11301,11509,11373,5723,5080,44986,823244,2122,5.46448,5.72036,17/18
2018,1,9426,11748,13370,6868,5870,47282,879802,2235,5.37416,5.77543,17/18
2018,2,10082,17403,15400,7791,6246,56922,1026852,2251,5.54335,5.9083,17/18
2018,3,12004,21873,15973,7536,5551,62937,992379,2277,6.34203,6.49095,17/18
2018,4,13432,30671,18349,8925,6091,77468,1098998,2279,7.04897,7.17799,17/18
2018,5,14854,37252,19095,8929,5965,86095,1104089,2265,7.79783,7.52851,17/18
2018,6,15192,38457,19505,8621,5871,87646,1125265,2290,7.78892,7.38424,17/18
2018,7,13340,31984,17163,8070,5430,75987,1111598,2215,6.83583,6.46068,17/18
2018,8,10142,20394,12428,5808,4189,52961,1023689,2259,5.17354,4.95341,17/18
2018,9,7190,13370,8445,4081,2846,35932,1011645,2194,3.55184,3.67274,17/18
2018,10,6357,10841,6483,3139,2289,29109,965961,2203,3.01348,3.2037,17/18
2018,11,5590,9479,5925,2813,2121,25928,946753,2188,2.73862,2.78869,17/18
2018,12,5212,8635,5406,2563,1969,23785,957380,2168,2.48438,2.50234,17/18
2018,13,4722,7216,4720,2295,1743,20696,874750,2131,2.36593,2.41065,17/18
2018,14,4550,6211,4452,2158,1696,19067,937849,2117,2.03306,2.07542,17/18
2018,15,4148,5508,3749,1818,1449,16672,923041,2076,1.8062,1.78234,17/18
