PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2023,40,13511,18994,13430,X,5290,5052,56277,2491208,4127,2.25902,2.29246
2023,41,14403,18523,13938,X,5428,5088,57380,2484565,4145,2.30946,2.32301
2023,42,15712,20287,14455,X,5812,6187,62453,2483573,4131,2.51464,2.54346
2023,43,16971,22354,15452,X,6072,6700,67549,2521074,4156,2.67937,2.731
2023,44,17784,24733,16573,X,6335,6687,72112,2476504,4150,2.91185,2.97132
2023,45,21454,29393,19306,X,7423,7741,85317,2566043,4146,3.32485,3.43915
2023,46,22011,30763,21538,X,8074,8411,90797,2542038,4149,3.57182,3.72221
2023,47,22379,25918,20377,X,8365,8408,85447,2255630,4162,3.78817,3.96418
2023,48,22624,30290,28320,X,11121,11193,103548,2615381,4135,3.95919,4.06554
2023,49,23342,38072,28996,X,12182,11359,113951,2617107,4098,4.35408,4.42345
2023,50,26060,48218,34987,X,13983,12561,135809,2608352,4112,5.2067,5.23015
2023,51,29750,53426,45227,X,18090,16604,163097,2584619,4083,6.31029,6.29282
2023,52,31461,41750,50010,X,21678,21694,166593,2412825,4075,6.90448,6.8564
2024,1,24655,32258,46988,X,20517,19363,143781,2495405,4100,5.76183,5.76741
2024,2,18115,31337,37048,X,16378,15370,118248,2487810,4096,4.7531,4.71124
2024,3,16144,29092,30545,X,12622,11542,99945,2297213,4106,4.35071,4.37495
2024,4,16212,34316,31771,X,12481,10636,105416,2495602,4132,4.22407,4.29022
2024,5,17241,38460,30380,X,11582,10031,107694,2516564,4110,4.27941,4.46938
2024,6,17947,41690,31575,X,11534,10034,112780,2563258,4116,4.39987,4.50725
2024,7,17377,38854,30736,X,11228,9949,108144,2494214,4101,4.33579,4.40091
2024,8,17637,36968,31213,X,11314,10156,107288,2484096,4094,4.319,4.37543
2024,9,17319,35834,30521,X,11034,9901,104609,2564806,4092,4.07863,4.09606
2024,10,16477,32940,26559,X,9683,8809,94468,2534125,4096,3.72784,3.74631
2024,11,15861,29058,23666,X,8453,7730,84768,2494379,4034,3.39836,3.43299
2024,12,15078,26428,21970,X,7814,7112,78402,2489028,4087,3.1499,3.10658
2024,13,14358,23238,21092,X,7443,7010,73141,2421991,4076,3.01987,2.9835
2024,14,13847,20188,19972,X,7091,6684,67782,2406993,4046,2.81604,2.77628
2024,15,13143,19347,18062,X,6761,6299,63612,2469161,4051,2.57626,2.54083
2024,16,11664,18048,15555,X,5911,5738,56916,4489093,4022,1.26787,2.23872
2024,17,11049,17281,14533,X,5484,5103,53450,2398230,3891,2.22873,2.19339
