country,age_group_name,outpatient_visits_per_cap_mean,age_category,p
CHN,1 to 4,5.144015405,0,0.014093193
CHN,5 to 9,4.531095501,1,0.01241396
CHN,10 to 14,3.876936088,2,0.010621743
CHN,15 to 19,3.442954407,3,0.009432752
CHN,20 to 24,3.331711486,4,0.009127977
CHN,25 to 29,3.463988764,5,0.00949038
CHN,30 to 34,3.794066843,6,0.010394704
CHN,35 to 39,4.239682051,7,0.011615567
CHN,40 to 44,4.763109305,8,0.013049615
CHN,45 to 49,5.414928645,9,0.014835421
CHN,50 to 54,6.19855431,10,0.016982341
CHN,55 to 59,7.127738434,11,0.019528051
CHN,60 to 64,8.039595785,12,0.02202629
CHN,65 to 69,8.9127781,13,0.02441857
CHN,70 to 74,9.809575421,14,0.026875549
CHN,75 to 79,10.54153256,15,0.028880911
CHN,80 to 84,11.07202201,16,0.030334307
CHN,85 to 89,11.34021209,17,0.031069074
CHN,90 to 94,11.54998903,18,0.031643806
CHN,95 plus,11.78748832,19,0.032294489
PRK,1 to 4,6.756225053,0,0.018510206
PRK,5 to 9,6.236076974,1,0.017085142
PRK,10 to 14,5.686165091,2,0.015578534
PRK,15 to 19,5.321088706,3,0.014578325
PRK,20 to 24,5.187876882,4,0.014213361
PRK,25 to 29,5.282906844,5,0.014473717
PRK,30 to 34,5.613174233,6,0.01537856
PRK,35 to 39,6.126863629,7,0.016785928
PRK,40 to 44,6.858196217,8,0.018789579
PRK,45 to 49,7.740887657,9,0.021207911
PRK,50 to 54,8.629871535,10,0.023643484
PRK,55 to 59,9.649747785,11,0.026437665
PRK,60 to 64,10.79709787,12,0.02958109
PRK,65 to 69,11.82530733,13,0.032398102
PRK,70 to 74,12.77805979,14,0.035008383
PRK,75 to 79,13.71125775,15,0.03756509
PRK,80 to 84,14.30804526,16,0.039200124
PRK,85 to 89,14.68511052,17,0.04023318
PRK,90 to 94,15.11956703,18,0.041423471
PRK,95 plus,15.58981622,19,0.042711825
TWN,1 to 4,18.33546055,0,0.050234138
TWN,5 to 9,16.88944604,1,0.046272455
TWN,10 to 14,15.35176158,2,0.042059621
TWN,15 to 19,14.34196291,3,0.039293049
TWN,20 to 24,13.91466134,4,0.03812236
TWN,25 to 29,14.14055164,5,0.038741237
TWN,30 to 34,15.03292983,6,0.041186109
TWN,35 to 39,16.41023415,7,0.044959546
TWN,40 to 44,18.38258207,8,0.050363239
TWN,45 to 49,20.74767057,9,0.056842933
TWN,50 to 54,23.27080152,10,0.063755621
TWN,55 to 59,26.13749238,11,0.071609568
TWN,60 to 64,29.39459438,12,0.080533135
TWN,65 to 69,32.41512819,13,0.08880857
TWN,70 to 74,35.20068818,14,0.096440242
TWN,75 to 79,37.90116793,15,0.103838816
TWN,80 to 84,39.94851826,16,0.109447995
TWN,85 to 89,41.39783591,17,0.113418729
TWN,90 to 94,42.62106023,18,0.116770028
TWN,95 plus,44.10079866,19,0.120824106
KHM,1 to 4,5.103035821,0,0.01398092
KHM,5 to 9,3.987249317,1,0.010923971
KHM,10 to 14,3.009904964,2,0.008246315
KHM,15 to 19,2.443666144,3,0.006694976
KHM,20 to 24,2.412348118,4,0.006609173
KHM,25 to 29,2.680863971,5,0.007344833
KHM,30 to 34,3.05304941,6,0.008364519
KHM,35 to 39,3.481939693,7,0.009539561
KHM,40 to 44,3.986597392,8,0.010922185
KHM,45 to 49,4.586189597,9,0.012564903
KHM,50 to 54,5.258964706,10,0.014408122
KHM,55 to 59,6.154635727,11,0.016862016
KHM,60 to 64,7.09235186,12,0.019431101
KHM,65 to 69,7.955660809,13,0.021796331
KHM,70 to 74,8.7159952,14,0.023879439
KHM,75 to 79,9.285829872,15,0.02544063
KHM,80 to 84,9.530390909,16,0.02611066
KHM,85 to 89,9.443606458,17,0.025872894
KHM,90 to 94,9.231222618,18,0.025291021
KHM,95 plus,9.157125668,19,0.025088016
IDN,1 to 4,4.04303759,0,0.011076815
IDN,5 to 9,3.582242578,1,0.009814363
IDN,10 to 14,3.143077383,2,0.008611171
IDN,15 to 19,2.897062728,3,0.007937158
IDN,20 to 24,2.828735925,4,0.007749961
