model,effect,best_fit_score,p0,p1,p2
negexp,0.1,0.08644193520827645,1.0,,
negexp,0.2,4.131023245701471e-09,1.1136345126544889,,
negexp,0.25,2.5561386340910985e-09,1.793761918177465,,
negexp,0.3,4.651428409108149e-09,4.441742738026388,,
negexp,0.4,0.0742275499214623,200.0,,
hill,0.1,9.050439980784475e-09,0.3712251196951183,1.0562191630952373,
hill,0.2,2.6896090910000225e-10,9.52175372925655,7.037871603499173,
hill,0.25,4.184613655588976e-09,7.200217212857184,5.997648472692095,
hill,0.3,8.098004877776788e-09,7.837245624460298,1.0,
hill,0.4,8.707511378602817e-10,5.423072298455822,2.0842299488175415,
logit,0.1,5.162869270991521e-09,464.96238034676117,5.068257154184041,0.15062762386215747
logit,0.2,4.858694058196278e-09,517.9472232251409,4.156885179358547,0.1880000148912784
logit,0.25,3.742229748304737e-09,884.8400835176939,3.8670482974834264,0.15767635546843028
logit,0.3,1.1921723053198718e-09,724.9202868044307,3.1514539938614137,0.158839778939326
logit,0.4,6.060955626274733e-09,169.21566836471192,3.083388367221314,0.042450360976393736
