Series Name,Series Code,Country Name,ISO3,GNI_2023
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Burundi,BDI,220
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Afghanistan,AFG,380
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Madagascar,MDG,510
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Central African Republic,CAF,530
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mozambique,MOZ,540
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Somalia,SOM,590
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Malawi,MWI,600
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Niger,NER,620
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Congo, Dem. Rep.",COD,630
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chad,TCD,670
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Liberia,LBR,710
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Low income,LIC,754.7037812
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mali,MLI,840
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Burkina Faso,BFA,860
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Gambia, The",GMB,870
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Sierra Leone,SLE,870
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Sudan,SDN,880
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guinea-Bissau,GNB,940
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Uganda,UGA,970
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Rwanda,RWA,990
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Togo,TGO,1000
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ethiopia,ETH,1110
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,1111.800213
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Tanzania,TZA,1220
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Myanmar,MMR,1230
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Lesotho,LSO,1250
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Least developed countries: UN classification,LDC,1268.624185
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Zambia,ZMB,1290
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guinea,GIN,1350
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,IDA only,IDX,1375.585717
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Benin,BEN,1390
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Tajikistan,TJK,1400
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Nepal,NPL,1430
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Pre-demographic dividend,PRE,1441.897396
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Pakistan,PAK,1460
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,IDA total,IDA,1524.480604
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Africa Eastern and Southern,AFE,1579.924932
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Comoros,COM,1610
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1619.269367
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Sub-Saharan Africa,SSF,1620.725868
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1620.725868
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Senegal,SEN,1630
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Africa Western and Central,AFW,1680.838434
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cameroon,CMR,1690
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Haiti,HTI,1760
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kyrgyz Republic,KGZ,1760
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Fragile and conflict affected situations,FCS,1794.400204
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,IDA blend,IDB,1824.641375
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Nigeria,NGA,1880
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Timor-Leste,TLS,2020
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Zimbabwe,ZWE,2060
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Solomon Islands,SLB,2100
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kenya,KEN,2110
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Lao PDR,LAO,2110
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Angola,AGO,2120
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mauritania,MRT,2130
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Nicaragua,NIC,2350
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ghana,GHA,2360
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Asia,SAS,2381.897842
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Asia (IDA & IBRD),TSA,2381.897842
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cambodia,KHM,2390
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Congo, Rep.",COG,2450
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cote d'Ivoire,CIV,2470
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Lower middle income,LMC,2511.427121
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,2540
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Sao Tome and Principe,STP,2580
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Uzbekistan,UZB,2700
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Papua New Guinea,PNG,2820
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bangladesh,BGD,2880
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Honduras,HND,2890
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Djibouti,DJI,3400
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Sri Lanka,LKA,3540
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bolivia,BOL,3620
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Eswatini,SWZ,3690
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kiribati,KIR,3740
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Morocco,MAR,3760
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Vanuatu,VUT,3820
