country,target,par,mean,hpd_l,hpd_r,non_trivial,gni,median_age
AFG,impact,bxm_resist_h3,-9.353734373584803,-15.781482859915355,-2.4852259910487255,1,380.0,16.8
AGO,impact,bxm_resist_h3,-8.184814150122467,-14.576899181504206,-1.3010302701728982,1,2120.0,16.4
ALB,impact,bxm_resist_h3,-7.245276994412926,-13.83784008623819,-0.5041491005183651,1,7680.0,35.9
ARE,impact,bxm_resist_h3,-8.33788874301176,-14.815194105611692,-1.5099600132055677,1,49020.0,30.9
ARG,impact,bxm_resist_h3,-7.948939275562978,-14.440289422031777,-1.106205502932049,1,12890.0,31.7
ARM,impact,bxm_resist_h3,-7.61567620543542,-14.015893305404193,-0.704900476409307,1,6780.0,35.8
ATG,impact,bxm_resist_h3,-0.0685069545439454,-6.303302416306684,7.0249729121322275,0,20200.0,35.1
AUS,impact,bxm_resist_h3,-7.887933840105681,-14.248590957290887,-0.8616265594941162,1,63150.0,37.5
AUT,impact,bxm_resist_h3,-6.469896387555245,-12.881438716435975,0.36297586579478747,0,55030.0,42.8
AZE,impact,bxm_resist_h3,-8.090774168385732,-14.388179765876052,-0.9549565830638649,1,6660.0,32.1
BDI,impact,bxm_resist_h3,-7.891750682847995,-14.104204480578932,-0.8363090541565157,1,220.0,15.7
BEL,impact,bxm_resist_h3,-6.595962046825882,-13.036852280562947,0.27432086916032006,0,54580.0,41.2
BEN,impact,bxm_resist_h3,-7.9741747909394505,-14.460850779353022,-1.132320578376433,1,1390.0,17.6
BFA,impact,bxm_resist_h3,-8.326251436463856,-14.82558195789402,-1.5289573381199872,1,860.0,17.0
BGD,impact,bxm_resist_h3,-9.099555094466776,-15.459496641010933,-2.2096184190439345,1,2880.0,25.0
BGR,impact,bxm_resist_h3,-7.270780826602362,-13.681984910379898,-0.4131140628960317,1,14280.0,44.2
BHR,impact,bxm_resist_h3,-5.35061189696928,-11.745856418583905,1.5495203500359729,0,28300.0,31.7
BHS,impact,bxm_resist_h3,-2.2853368799979847,-8.691782724427453,4.503311699468469,0,33330.0,34.2
BIH,impact,bxm_resist_h3,-5.337113355890214,-11.63282057643522,1.7194044049019261,0,8280.0,44.6
BLR,impact,bxm_resist_h3,-6.741599449434339,-13.10160087504126,0.11185036264208748,0,7790.0,40.2
BLZ,impact,bxm_resist_h3,-2.3825695159389895,-8.702590823971692,4.6841978256076615,0,6890.0,25.5
BOL,impact,bxm_resist_h3,-7.395849510012265,-13.674758198885726,-0.3967130597680253,1,3620.0,24.4
BRA,impact,bxm_resist_h3,-9.052290546338163,-15.403115077868964,-2.1172655386131325,1,9280.0,33.5
BRB,impact,bxm_resist_h3,-2.086823728029568,-8.34680074351975,4.880802863124718,0,22870.0,38.7
BRN,impact,bxm_resist_h3,-3.1095389286345885,-9.47985720785576,3.8245243310486323,0,34480.0,31.3
BTN,impact,bxm_resist_h3,-2.5913764886758166,-8.87879687068167,4.368398096030084,0,,28.8
BWA,impact,bxm_resist_h3,-6.820603872948084,-13.20837628716875,0.12586583697701315,0,8340.0,22.6
CAF,impact,bxm_resist_h3,-7.420598137086262,-13.692264372529248,-0.3836392955326744,1,530.0,14.3
CAN,impact,bxm_resist_h3,-7.9077936294571884,-14.413123400919496,-1.1400009853710422,1,54040.0,40.3
CHE,impact,bxm_resist_h3,-6.5955506299040145,-12.930983785599677,0.3486929191317749,0,95070.0,42.0
CHL,impact,bxm_resist_h3,-7.445066855125084,-14.000101571264572,-0.6285777628432783,1,15800.0,35.5
CHN,impact,bxm_resist_h3,-10.271854332251365,-16.62677402139841,-3.3306176479746803,1,13390.0,38.5
CIV,impact,bxm_resist_h3,-8.25264896377099,-14.60317172383469,-1.274458256491691,1,2470.0,18.0
CMR,impact,bxm_resist_h3,-8.351223919592275,-14.737283427815008,-1.4345176327493157,1,1690.0,17.6
COD,impact,bxm_resist_h3,-9.091405403534939,-15.512028154668446,-2.2162252894893264,1,630.0,15.8
COG,impact,bxm_resist_h3,-7.0925593744373465,-13.327202970857742,-0.15280727604083566,1,2450.0,18.2
COL,impact,bxm_resist_h3,-8.392648950633028,-14.643430763786032,-1.4141641801278801,1,6810.0,31.2
COM,impact,bxm_resist_h3,-5.3959491281597955,-11.577665325409937,1.628728368715361,0,1610.0,20.1
