country,target,par,mean,hpd_l,hpd_r,non_trivial,gni,median_age
AFG,impact,bxm_resist_h3,-2.3662387134083813,-3.2215763381029596,-1.60492756518732,1,380.0,16.8
AGO,impact,bxm_resist_h3,-1.1891156626824149,-2.00838312844794,-0.3861741790245361,1,2120.0,16.4
ALB,impact,bxm_resist_h3,-0.43739707695200236,-1.3633022127558347,0.34606111488200986,0,7680.0,35.9
ARE,impact,bxm_resist_h3,-1.4562669233514507,-2.2417470700317983,-0.546842190788082,1,49020.0,30.9
ARG,impact,bxm_resist_h3,-1.0082104995951622,-1.8283855085937755,-0.20953820618827246,1,12890.0,31.7
ARM,impact,bxm_resist_h3,-0.5266920033479656,-1.5090858517579184,0.21688787086288253,0,6780.0,35.8
ATG,impact,bxm_resist_h3,7.037015882697279,6.059262325821845,8.004064108658019,1,20200.0,35.1
AUS,impact,bxm_resist_h3,-0.7938581585378384,-1.6449622329045384,-0.03472587951436701,1,63150.0,37.5
AUT,impact,bxm_resist_h3,0.4249178874147157,-0.3024405316714611,1.363754965794671,0,55030.0,42.8
AZE,impact,bxm_resist_h3,-1.0469723118972147,-1.8864186162839274,-0.22897171601673216,1,6660.0,32.1
BDI,impact,bxm_resist_h3,-0.7311455377350067,-1.5811839414119075,0.03059662330644164,0,220.0,15.7
BEL,impact,bxm_resist_h3,0.38944656822046686,-0.4701068212946573,1.258694168895536,0,54580.0,41.2
BEN,impact,bxm_resist_h3,-1.0776990885245716,-1.8818247237361811,-0.3066923015506724,1,1390.0,17.6
BFA,impact,bxm_resist_h3,-1.4465773583632278,-2.2928075368137257,-0.6862495954357821,1,860.0,17.0
BGD,impact,bxm_resist_h3,-2.155078674092593,-2.9731797226452197,-1.3458379257047963,1,2880.0,25.0
BGR,impact,bxm_resist_h3,-0.4121031786972813,-1.15645583973616,0.4660656910676879,0,14280.0,44.2
BHR,impact,bxm_resist_h3,1.6435342883406614,0.6908743992031934,2.4354845961801566,1,28300.0,31.7
BHS,impact,bxm_resist_h3,4.5259251304878045,3.8101213095980624,5.39111409660671,1,33330.0,34.2
BIH,impact,bxm_resist_h3,1.623289433844828,0.8817958245937236,2.5241968565246706,1,8280.0,44.6
BLR,impact,bxm_resist_h3,0.1344162349534348,-0.5700342067363934,1.0642908179840083,0,7790.0,40.2
BLZ,impact,bxm_resist_h3,4.74858604317427,3.8881239112607,5.559651274922431,1,6890.0,25.5
BOL,impact,bxm_resist_h3,-0.3923578605302471,-1.169064319733899,0.4097104422392388,0,3620.0,24.4
BRA,impact,bxm_resist_h3,-2.1054375180423786,-2.9782182907363275,-1.3161538228805219,1,9280.0,33.5
BRB,impact,bxm_resist_h3,4.9235596504602945,4.129668779420191,5.817271770511333,1,22870.0,38.7
BRN,impact,bxm_resist_h3,3.9661241367700533,3.1178861412684404,4.758536596918726,1,34480.0,31.3
BTN,impact,bxm_resist_h3,4.382763186153725,3.598185885526653,5.20091474063646,1,,28.8
BWA,impact,bxm_resist_h3,0.2122172263463109,-0.6456823224645077,1.008418519934434,0,8340.0,22.6
CAF,impact,bxm_resist_h3,-0.36646505363227644,-1.2033293173890445,0.42711312751638286,0,530.0,14.3
CAN,impact,bxm_resist_h3,-1.0984050526735216,-1.8952495543226238,-0.2342847488213997,1,54040.0,40.3
CHE,impact,bxm_resist_h3,0.49946711066191285,-0.3651185049912039,1.2959865220676317,0,95070.0,42.0
CHL,impact,bxm_resist_h3,-0.5882867121469417,-1.3724846313883403,0.2484605521982619,0,15800.0,35.5
CHN,impact,bxm_resist_h3,-3.121003348645683,-4.041509011148621,-2.347653353277568,1,13390.0,38.5
CIV,impact,bxm_resist_h3,-1.2220765344283535,-2.0090863998027677,-0.4311961287324255,1,2470.0,18.0
CMR,impact,bxm_resist_h3,-1.2694686007238907,-2.0762346931850675,-0.45303236674348746,1,1690.0,17.6
COD,impact,bxm_resist_h3,-2.2029701940267947,-2.962797624614091,-1.3363155405252454,1,630.0,15.8
COG,impact,bxm_resist_h3,-0.016392599149072984,-0.8542947809173306,0.7382836083358055,0,2450.0,18.2
COL,impact,bxm_resist_h3,-1.2870648585362865,-2.0387554214989665,-0.44059592024352945,1,6810.0,31.2
COM,impact,bxm_resist_h3,1.7694688972133124,0.952697978874615,2.6404845634492666,1,1610.0,20.1
CPV,impact,bxm_resist_h3,3.612322952060623,2.845682614776664,4.47748734875457,1,4780.0,27.3
CRI,impact,bxm_resist_h3,0.1023356857037907,-0.7053254878585493,0.9168647263882597,0,14260.0,33.5
CUB,impact,bxm_resist_h3,0.04226729183850653,-0.7265885390856642,0.8780478205961575,0,,41.5
CYP,impact,bxm_resist_h3,4.101341761100652,3.281264476950213,4.950061450396053,1,32960.0,37.3
CZE,impact,bxm_resist_h3,0.2895917805979742,-0.47716868865962947,1.1610391035918557,0,27370.0,42.6
DEU,impact,bxm_resist_h3,-0.7779271604303812,-1.5941501275250611,0.07211295407688434,0,54800.0,45.0
DJI,impact,bxm_resist_h3,-1.811535609240531,-2.7412529891380215,-0.9781047491626449,1,3400.0,24.1
DNK,impact,bxm_resist_h3,-0.5063118015769577,-1.3870685779022798,0.2907976831420489,0,73340.0,41.2
DOM,impact,bxm_resist_h3,-0.06285657212904838,-0.8592555585022181,0.7483179056425107,0,9710.0,27.3
DZA,impact,bxm_resist_h3,-2.0846595078169776,-2.8419421344724465,-1.195106787062377,1,4950.0,28.0
ECU,impact,bxm_resist_h3,-0.9100362360863063,-1.7256560546882267,-0.1579337130923233,1,6590.0,28.0
EGY,impact,bxm_resist_h3,-2.5706027262204367,-3.256038780631159,-1.642135204534576,1,3840.0,23.8
ERI,impact,bxm_resist_h3,0.3976171312827561,-0.3874851352655634,1.26958875091471,0,,18.4
ESP,impact,bxm_resist_h3,-1.0485679606075884,-1.8973934520882265,-0.23118045029290002,1,32830.0,44.4
EST,impact,bxm_resist_h3,4.42573887265036,3.5963283118556513,5.238254033132583,1,27620.0,41.6
ETH,impact,bxm_resist_h3,-1.9217995117569946,-2.7778407772190308,-1.1603484413736362,1,1110.0,18.5
FIN,impact,bxm_resist_h3,-1.352336213073549,-2.16682479024374,-0.4109352146085947,1,53230.0,42.5
FJI,impact,bxm_resist_h3,4.227636422936111,3.3718448896001494,5.056879678778074,1,5680.0,27.5
FRA,impact,bxm_resist_h3,-1.1531788558518286,-1.886694971623451,-0.29335187367140003,1,45180.0,41.6
GAB,impact,bxm_resist_h3,0.7009335803791428,-0.042311127906345725,1.6082712762081806,0,7930.0,21.5
GBR,impact,bxm_resist_h3,-1.2846392567101181,-2.044444395811403,-0.4266988158853793,1,47700.0,39.5
GEO,impact,bxm_resist_h3,-1.214504492221098,-2.0153418018519296,-0.34668264925683223,1,6710.0,36.6
GHA,impact,bxm_resist_h3,-1.1271562456403212,-1.9617089462954929,-0.32852799898686236,1,2360.0,20.7
GIN,impact,bxm_resist_h3,-1.1398411613408836,-1.9478660289249141,-0.3740966647350872,1,1350.0,17.8
GMB,impact,bxm_resist_h3,-0.5441212825326671,-1.3754247282202834,0.3506404414517137,0,870.0,18.0
GNB,impact,bxm_resist_h3,0.2591343824488668,-0.5338074767310309,1.1059491492588214,0,940.0,18.7
GNQ,impact,bxm_resist_h3,0.25486354948390666,-0.557366786256438,1.074120099201244,0,4840.0,21.0
GRC,impact,bxm_resist_h3,-1.0628428685856315,-1.910059616375146,-0.21882920868946076,1,22590.0,45.4
GTM,impact,bxm_resist_h3,-0.8213663869097121,-1.58769156864717,-0.007700653404689284,1,5480.0,22.2
GUY,impact,bxm_resist_h3,4.417454818170805,3.6024210302533852,5.2543897059554885,1,13600.0,25.3
HKG,impact,bxm_resist_h3,-2.1493763901535594,-3.0270846338918105,-1.3446753016245903,1,55170.0,45.6
HND,impact,bxm_resist_h3,-0.42525346362254246,-1.2486813266688856,0.39084852875612874,0,2890.0,23.2
HRV,impact,bxm_resist_h3,-0.07575134691549867,-0.9588660767750368,0.7240230855897454,0,20590.0,44.6
HTI,impact,bxm_resist_h3,-2.2724609013760624,-3.072276297971876,-1.4874264874688778,1,1760.0,23.3
HUN,impact,bxm_resist_h3,0.3763905096536937,-0.3941169822501698,1.1998336307723263,0,19670.0,43.0
IDN,impact,bxm_resist_h3,-2.3032724913098765,-3.0873836429379464,-1.4858872502215745,1,4810.0,29.6
IND,impact,bxm_resist_h3,-3.31929614883133,-4.216098218613236,-2.5336296195387473,1,2540.0,27.7
IRL,impact,bxm_resist_h3,-0.7091647218853119,-1.5629872161997074,0.07841292373227704,0,78970.0,38.0
IRN,impact,bxm_resist_h3,-1.8193228330378266,-2.6742594771133774,-1.0000085491320903,1,4650.0,32.3
IRQ,impact,bxm_resist_h3,-2.289639844099704,-3.162623222671641,-1.4723111435788012,1,5640.0,20.1
ISL,impact,bxm_resist_h3,4.849583630630118,4.086497020675049,5.762085800576388,1,80400.0,35.7
ISR,impact,bxm_resist_h3,0.7365871022151786,-0.20208601049944674,1.654358586913891,0,54650.0,29.1
ITA,impact,bxm_resist_h3,-1.394998735556955,-2.230264607096767,-0.6101752079467233,1,37920.0,47.1
JAM,impact,bxm_resist_h3,-0.20898005649435936,-0.9972778270467906,0.662784536822447,0,6200.0,31.2
JOR,impact,bxm_resist_h3,-0.7752137074351007,-1.6244145463851862,-0.03749628494361579,1,4420.0,23.9
JPN,impact,bxm_resist_h3,-0.5902294328947315,-1.3584035525701044,0.3184838188626222,0,39350.0,48.5
KAZ,impact,bxm_resist_h3,-0.8157151973947512,-1.5726410628517618,0.0445723933872717,0,10730.0,29.3
KEN,impact,bxm_resist_h3,-1.117015513695579,-1.8506085154510716,-0.24859217762534191,1,2110.0,19.3
KGZ,impact,bxm_resist_h3,0.11245460337330626,-0.7048837142319889,0.8913841654520367,0,1760.0,25.0
KHM,impact,bxm_resist_h3,-0.9548913703290269,-1.8182604754977572,-0.21626228197850583,1,2390.0,25.6
KIR,impact,bxm_resist_h3,6.275873306710716,5.4095430266463085,7.165408862133991,1,3740.0,22.5
KOR,impact,bxm_resist_h3,-1.285297806008752,-2.0988687135726085,-0.44644224501055296,1,35490.0,43.9
KWT,impact,bxm_resist_h3,-1.1489069393609705,-2.0656377520865368,-0.3723025676229219,1,41320.0,33.5
LAO,impact,bxm_resist_h3,-0.5473472527821388,-1.2795875278980198,0.32852476860647273,0,2110.0,24.0
LBN,impact,bxm_resist_h3,0.13026505635530872,-0.7045018608548489,0.8815552818444505,0,,28.1
LBR,impact,bxm_resist_h3,0.18611452670028106,-0.6037025879441572,0.9827404095744128,0,710.0,18.2
LBY,impact,bxm_resist_h3,-0.5087339152101049,-1.269053860593245,0.3428789268409034,0,5940.0,26.9
LCA,impact,bxm_resist_h3,5.230467030317543,4.355949785396778,5.999414493632867,1,12350.0,33.3
LKA,impact,bxm_resist_h3,0.02032279549176197,-0.909774979616803,0.9140480319089301,0,3540.0,32.6
LSO,impact,bxm_resist_h3,-0.296509833661569,-1.1865839806610745,0.4823050449629982,0,1250.0,21.3
LTU,impact,bxm_resist_h3,3.1158929050859294,2.2251637365833665,3.9100898484305797,1,25080.0,42.6
LUX,impact,bxm_resist_h3,5.104366769502782,4.282728431849685,5.9372797327154405,1,83980.0,38.7
LVA,impact,bxm_resist_h3,4.175566928523196,3.3285489926869256,4.953624112061293,1,22630.0,42.9
MAC,impact,bxm_resist_h3,4.1563838945567895,3.298918155298774,4.97412149145536,1,,37.8
MAR,impact,bxm_resist_h3,-1.7282300116446987,-2.4402190467488203,-0.8520393465165643,1,3760.0,28.9
MCO,impact,bxm_resist_h3,5.956475114758415,5.03671275102125,6.8418246009407895,1,,55.0
MDA,impact,bxm_resist_h3,-0.9149737186564464,-1.7670932856919896,-0.0771995988773937,1,6200.0,37.5
MDG,impact,bxm_resist_h3,-1.421734233811657,-2.2371844524927846,-0.6092015472188339,1,510.0,18.7
MDV,impact,bxm_resist_h3,4.120628229019523,3.3723682294404993,4.994072411037623,1,11070.0,30.3
MEX,impact,bxm_resist_h3,-1.9999455903072436,-2.765451948038839,-1.108093523047132,1,11980.0,28.5
MKD,impact,bxm_resist_h3,1.3807005439697007,0.4721674390063121,2.138290648899615,1,7900.0,39.9
MLI,impact,bxm_resist_h3,-1.241808604273546,-1.985930951110989,-0.3578902783824933,1,840.0,15.3
MLT,impact,bxm_resist_h3,4.962837551374925,4.086338697581718,5.738259945264267,1,34750.0,39.7
MMR,impact,bxm_resist_h3,-1.948578561257962,-2.734096823337912,-1.135267288042967,1,1230.0,29.3
MNE,impact,bxm_resist_h3,4.517952383770533,3.649093377619471,5.286942538639863,1,11590.0,39.1
MNG,impact,bxm_resist_h3,-0.9666586239477397,-1.8706911222403995,-0.19773061340730402,1,4870.0,26.6
MOZ,impact,bxm_resist_h3,-1.3263360301848155,-2.1375445059575657,-0.5085323635521242,1,540.0,16.2
MRT,impact,bxm_resist_h3,-0.47138095587234075,-1.244623712274532,0.37202371415424595,0,2130.0,17.0
MUS,impact,bxm_resist_h3,4.0283535319522805,3.223428375336808,4.847253083647882,1,11590.0,36.5
MWI,impact,bxm_resist_h3,-0.7533589354284211,-1.6229059892370385,0.018784680580860247,0,600.0,17.3
MYS,impact,bxm_resist_h3,-1.6329172679548283,-2.442561365194426,-0.8509060750578792,1,11710.0,29.6
NAM,impact,bxm_resist_h3,-1.1919687099308396,-1.9747857086818574,-0.33284824920770095,1,4280.0,20.8
NER,impact,bxm_resist_h3,-1.4402020002874438,-2.269447021551893,-0.6369159536017075,1,620.0,15.1
NGA,impact,bxm_resist_h3,-2.4725643414530403,-3.287018078671726,-1.6479721759702213,1,1880.0,17.6
NIC,impact,bxm_resist_h3,-0.8680779471413977,-1.6554011613937667,-0.027659718440410597,1,2350.0,24.9
NLD,impact,bxm_resist_h3,-0.842387288315882,-1.6715082055298511,-0.017772463043293385,1,62540.0,41.5
NOR,impact,bxm_resist_h3,-0.5067693077144138,-1.3151030229500273,0.39722520222363933,0,102910.0,39.4
NPL,impact,bxm_resist_h3,-1.1809808888448678,-2.0841798971175693,-0.4417238854351102,1,1430.0,24.4
NZL,impact,bxm_resist_h3,-0.7315415007103487,-1.6024217658116544,0.04470768046656293,0,48220.0,37.1
OMN,impact,bxm_resist_h3,-2.640885590799308,-3.519302887390148,-1.8096425564327911,1,20470.0,29.0
PAK,impact,bxm_resist_h3,-3.12341945773948,-3.8676054712280217,-2.269579316526693,1,1460.0,20.1
PAN,impact,bxm_resist_h3,0.43060545504440784,-0.3820172469672576,1.2028957803018179,0,17870.0,29.3
PER,impact,bxm_resist_h3,-0.9934419552769254,-1.8498668087079995,-0.2261985328642937,1,7090.0,29.1
PHL,impact,bxm_resist_h3,-2.066240870481355,-2.8524333660557177,-1.241155459931583,1,4320.0,24.9
PNG,impact,bxm_resist_h3,-0.9797185881184614,-1.8171016580151127,-0.17938786644732518,1,2820.0,22.1
POL,impact,bxm_resist_h3,2.8226420480270527,2.0004610500312516,3.7173257795321835,1,19900.0,40.9
PRI,impact,bxm_resist_h3,0.6369462277921019,-0.17271009950844962,1.4941471408063303,0,25240.0,45.2
PRK,impact,bxm_resist_h3,-1.484748643506715,-2.280922522622346,-0.6912286773214693,1,,35.8
PRT,impact,bxm_resist_h3,0.021661744402580396,-0.7704933094369607,0.853220737455409,0,26150.0,45.8
PRY,impact,bxm_resist_h3,-0.10960407009505624,-0.9529860478577782,0.6878349205521865,0,6220.0,26.0
PSE,impact,bxm_resist_h3,-1.47053914485059,-2.2250685603972054,-0.6278179794348895,1,4180.0,19.6
