country,continent,par,mu,hpd_ll,hpd_ul
AFG,AS,bxm_resist_h3,-10.258385377489702,-19.1859428888861,-0.4550231735196135
AFG,AS,bxm_resist_h1,-6.744379906950584,-12.889783999502939,-0.7264738246171554
AFG,AS,treat_bxm6599,1.0029524497866937,-6.288556802374629,8.13866022220098
AFG,AS,treat_bxm2564,2.4820711720186317,-1.719771181051616,6.477265540511652
AFG,AS,treat_bxm0524,-2.1488905335561483,-5.892212290517438,1.4242802344523575
AFG,AS,treat_window_extended,2.3419178282011126,1.36704645230573,3.22816453356055
AFG,AS,tat_delay,-0.03534366982868875,-0.2673289184883585,0.22815850570902074
AFG,AS,PEP,10.395311871854078,6.859768714170231,13.829839510746963
AFG,AS,avs_week,-0.5490687678264208,-1.7640581984434534,0.5598301095974403
AGO,AF,bxm_resist_h3,-8.06536791130911,-17.000700041681608,1.6445440941421126
AGO,AF,bxm_resist_h1,-4.766475743399379,-10.86027330101523,1.301609588234971
AGO,AF,treat_bxm6599,-1.4928824116795916,-8.55598627447295,5.908022070638673
AGO,AF,treat_bxm2564,0.18158689610701728,-3.894138420201209,4.234669293991306
AGO,AF,treat_bxm0524,-3.8947344808631392,-7.560479310434204,-0.2914739381597613
AGO,AF,treat_window_extended,2.4004748493647057,1.4725542394459925,3.286970432054905
AGO,AF,tat_delay,-0.34324164893175446,-0.5849995120132216,-0.10414046566436941
AGO,AF,PEP,6.12539733707594,2.5245904459422412,9.434246912712313
AGO,AF,avs_week,-0.5137780446895035,-1.705492391080984,0.621795583028288
ALB,EU,bxm_resist_h3,-7.459406840571237,-16.17234064799707,2.4494198423836337
ALB,EU,bxm_resist_h1,-2.090351286907321,-8.19888367839955,4.018181104584908
ALB,EU,treat_bxm6599,-11.985001643946976,-19.132895628286832,-4.625093854986872
ALB,EU,treat_bxm2564,-5.687688201148148,-9.69481741392709,-1.4272347277912267
ALB,EU,treat_bxm0524,-6.772025275078612,-10.391143636681225,-3.152906913476002
ALB,EU,treat_window_extended,3.225955588406614,2.314670698445563,4.173691873966107
ALB,EU,tat_delay,-1.5148867028984074,-1.757720095624919,-1.2751599207398254
ALB,EU,PEP,5.71026160679453,2.1123287561475816,9.111047451926579
ALB,EU,avs_week,-1.269525590252698,-2.3669449139368126,-0.04133901070902768
ARE,AS,bxm_resist_h3,-8.580840373171661,-17.569745980060805,1.2252384707074029
ARE,AS,bxm_resist_h1,-4.231021318246338,-10.311056292476657,1.8490136559839812
ARE,AS,treat_bxm6599,-3.8741405462330327,-11.07127642746045,3.3532354017222303
ARE,AS,treat_bxm2564,0.25411393403940963,-3.8700352939169704,4.354830495927857
ARE,AS,treat_bxm0524,-5.146702699069188,-8.833193615431288,-1.5449587003246066
ARE,AS,treat_window_extended,2.78935369633116,1.833565973599681,3.675105249724557
ARE,AS,tat_delay,-0.5275065247824953,-0.7658091709297614,-0.2876795546726667
ARE,AS,PEP,6.127742555982529,2.6155185446337654,9.51716153196945
ARE,AS,avs_week,-0.46430298995091857,-1.5812531271792885,0.7546517260197687
ARG,SA,bxm_resist_h3,-7.842879750302444,-16.639008075983448,2.049159645463405
ARG,SA,bxm_resist_h1,-4.245728633912787,-10.33115957932094,1.8651643656602523
ARG,SA,treat_bxm6599,-3.440336627465772,-10.58387055719691,3.943316089819355
ARG,SA,treat_bxm2564,-1.0611111795558195,-5.055573906759101,3.0481349593487046
ARG,SA,treat_bxm0524,-5.277261526650509,-8.935120125859243,-1.7441026524147958
ARG,SA,treat_window_extended,2.5457104292080315,1.6071347304230956,3.435316961099841
ARG,SA,tat_delay,-0.6200050985882658,-0.8555427955717987,-0.3749890234565022
ARG,SA,PEP,4.135176530094835,0.6156715328478839,7.5541242417061625
ARG,SA,avs_week,-0.5475956440946828,-1.6650562280329675,0.669415994092001
ARM,EU,bxm_resist_h3,-7.487921333177191,-16.48424785877246,2.2489564612932966
ARM,EU,bxm_resist_h1,-2.0569933490022265,-8.322481430562775,3.8952203284802955
ARM,EU,treat_bxm6599,-12.466306598677637,-19.605675744580005,-4.998347241039177
ARM,EU,treat_bxm2564,-5.538405310768987,-9.671518374777698,-1.450962004373629
ARM,EU,treat_bxm0524,-6.772270752622173,-10.439703617709053,-3.1048378875352967
ARM,EU,treat_window_extended,3.315418024964349,2.369884349738194,4.235164418138881
ARM,EU,tat_delay,-1.563769788296247,-1.7894381101110002,-1.2996898372364294
ARM,EU,PEP,6.056795814509895,2.533812314938169,9.47983651976753
ARM,EU,avs_week,-1.2121902981655275,-2.3744819501731866,-0.04733853238692598
ATG,NA,bxm_resist_h3,-0.3281214149827356,-9.268478034700976,9.463697739946763
ATG,NA,bxm_resist_h1,1.1019683773937423,-5.111002932400968,7.031360083836827
ATG,NA,treat_bxm6599,-7.868434887272965,-14.902663473867666,-0.33176140163578793
ATG,NA,treat_bxm2564,-4.5733353700369435,-8.520453650408559,-0.2992368770901628
ATG,NA,treat_bxm0524,-4.7758078606767995,-8.469004373248385,-1.1646823817179168
ATG,NA,treat_window_extended,1.5103215081030754,0.5026968490153045,2.501359753049484
ATG,NA,tat_delay,-1.4102946269563115,-1.6682390072317388,-1.1620433549167042
ATG,NA,PEP,3.5499513842485975,-0.002386125030447772,6.953239767264186
ATG,NA,avs_week,-3.3706683475468653,-4.584288450989462,-2.2581832527244856
AUS,OC,bxm_resist_h3,-7.278949903761433,-16.219672071077046,2.4772127218109787
AUS,OC,bxm_resist_h1,-3.404027311518849,-9.604258606085438,2.643739279082986
AUS,OC,treat_bxm6599,-4.9440911346555545,-11.970021184161894,2.505817452320997
AUS,OC,treat_bxm2564,-1.5463964601682108,-5.551940825015791,2.6202904940697884
AUS,OC,treat_bxm0524,-6.214336398908742,-9.829126689717846,-2.536497440236687
AUS,OC,treat_window_extended,2.6751750245598505,1.7739526343619278,3.5985950105754565
AUS,OC,tat_delay,-0.8040257741770385,-1.016094809499267,-0.5301728466743181
AUS,OC,PEP,3.5007461520964362,-0.06392927060999298,6.868749827343198
AUS,OC,avs_week,-0.5208494205201353,-1.6004829508382858,0.7332447973669902
AUT,EU,bxm_resist_h3,-5.857293402966928,-14.72178837065059,3.9163805357612134
AUT,EU,bxm_resist_h1,-2.2423740270671466,-8.349190675853539,3.813973062638361
